minutes,time
35,2010-11-06
27,2010-11-26
33,2010-11-24
13,2010-11-28
37,2010-11-21
11,2010-11-22
6,2010-11-05
24,2010-11-04
23,2010-11-18
25,2010-11-20
21,2010-11-23
11,2010-11-11
6,2010-11-25
38,2010-11-14
8,2010-11-17
27,2010-11-02
2,2010-11-13
14,2010-11-07
25,2010-11-27
25,2010-12-27
22,2010-12-12
12,2010-12-25
27,2010-12-01
3,2010-12-03
11,2010-12-13
28,2010-12-20
9,2010-12-08
26,2010-12-19
17,2010-12-14
39,2010-12-11
33,2010-12-04
34,2010-12-02
40,2011-01-04
34,2011-01-10
10,2011-01-03
25,2011-01-27
39,2011-01-24
12,2011-01-17
8,2011-01-15
33,2011-01-16
39,2011-01-19
8,2011-01-28
19,2011-01-14
13,2011-01-01
2,2011-01-22
34,2011-01-25
10,2011-01-18
24,2011-01-23
36,2011-01-13
5,2011-01-11
9,2011-01-12
30,2011-01-26
32,2011-01-09
32,2011-01-20
16,2011-01-08
14,2011-01-07
9,2011-01-05
34,2011-01-06
22,2011-02-19
30,2011-02-20
26,2011-02-04
3,2011-02-25
37,2011-02-23
3,2011-02-26
36,2011-02-22
34,2011-02-17
6,2011-02-11
40,2011-02-16
11,2011-02-05
24,2011-02-03
25,2011-02-08
32,2011-02-09
32,2011-02-07
39,2011-02-06
24,2011-02-13
35,2011-02-02
38,2011-02-24
32,2011-03-26
40,2011-04-10
13,2011-04-12
26,2011-04-06
5,2011-04-03
17,2011-04-02
18,2011-04-24
23,2011-04-09
9,2011-04-11
6,2011-04-26
28,2011-04-27
14,2011-04-22
6,2011-04-23
13,2011-04-18
29,2011-04-16
19,2011-04-20
20,2011-04-01
21,2011-04-07
27,2011-04-25
13,2011-04-21
5,2011-04-19
6,2011-04-14
21,2011-04-08
31,2011-04-04
40,2011-04-17
33,2011-06-11
16,2011-06-04
35,2011-06-07
7,2011-06-17
35,2011-06-28
16,2011-06-10
36,2011-06-08
40,2011-06-19
18,2011-06-24
18,2011-06-05
15,2011-06-09
8,2011-06-13
5,2011-06-16
10,2011-06-18
5,2011-06-20
26,2011-06-22
39,2011-06-27
33,2011-06-01
15,2011-06-06
34,2011-06-02
8,2011-06-25
5,2011-06-23
33,2011-07-11
14,2011-08-25
23,2011-08-13
19,2011-08-16
40,2011-08-14
22,2011-08-07
37,2011-08-15
8,2011-08-24
30,2011-08-21
10,2011-08-12
28,2011-08-05
3,2011-08-04
10,2011-08-03
18,2011-08-02
12,2011-08-08
25,2011-08-23
7,2011-08-06
23,2011-08-19
39,2011-08-22
10,2011-08-17
22,2011-08-01
33,2011-08-18
26,2011-08-28
19,2011-08-09
2,2011-08-26
31,2011-08-20
35,2011-08-11
29,2011-09-06
20,2011-09-05
37,2011-09-19
40,2011-09-10
9,2011-09-21
40,2011-09-18
7,2011-09-12
33,2011-09-28
33,2011-09-13
36,2011-09-04
13,2011-09-20
39,2011-09-27
34,2011-09-24
29,2011-10-22
3,2011-10-07
38,2011-10-04
12,2011-10-01
39,2011-10-10
32,2011-10-24
6,2011-10-05
18,2011-10-18
10,2011-10-26
30,2011-10-20
4,2011-10-03
16,2011-10-27
37,2011-10-19
38,2011-10-21
40,2011-11-03
4,2011-11-12
23,2011-11-28
32,2011-11-21
18,2011-11-07
38,2011-11-09
25,2011-11-11
22,2011-11-13
29,2011-11-10
4,2011-11-01
37,2011-11-05
29,2011-11-04
14,2011-11-18
39,2011-11-08
26,2011-11-23
24,2011-11-20
13,2011-11-06
33,2011-11-26
35,2011-11-22
13,2011-11-19
20,2011-11-24
20,2011-11-27
23,2011-11-02
30,2011-12-23
34,2011-12-01
38,2011-12-09
14,2011-12-24
21,2011-12-26
10,2011-12-08
7,2011-12-13
25,2011-12-12
20,2011-12-22
4,2011-12-11
13,2011-12-25
5,2011-12-28
39,2011-12-03
7,2011-12-14
21,2011-12-27
13,2011-12-02
23,2011-12-10
8,2011-12-07
30,2011-12-18
29,2011-12-15
16,2011-12-21
11,2011-12-19
8,2011-12-16
14,2012-01-14
29,2012-01-03
24,2012-01-15
20,2012-01-11
32,2012-01-27
24,2012-01-04
22,2012-01-08
30,2012-01-06
39,2012-01-21
3,2012-01-09
35,2012-01-02
24,2012-02-01
30,2012-02-08
30,2012-02-13
13,2012-02-03
34,2012-02-28
34,2012-02-17
23,2012-02-14
26,2012-02-11
17,2012-02-21
18,2012-02-02
27,2012-03-06
35,2012-03-24
39,2012-03-12
13,2012-03-22
22,2012-03-28
7,2012-03-16
31,2012-03-21
2,2012-03-02
6,2012-03-13
39,2012-03-20
5,2012-03-07
38,2012-03-19
8,2012-04-13
36,2012-04-12
23,2012-05-21
38,2012-07-18
30,2012-07-14
7,2012-07-01
22,2012-08-11
17,2012-08-20
13,2012-08-16
32,2012-08-04
36,2012-08-18
26,2012-08-08
10,2012-08-06
26,2012-08-01
21,2012-08-03
32,2012-08-02
7,2012-08-22
24,2012-08-07
40,2012-08-09
17,2012-08-25
2,2012-08-12
35,2012-08-17
39,2012-08-26
11,2012-08-15
9,2012-08-05
13,2012-08-10
39,2012-09-20
28,2012-09-03
13,2012-09-07
17,2012-09-09
3,2012-09-14
38,2012-09-21
7,2012-09-17
7,2012-09-16
14,2012-09-25
13,2012-09-08
10,2012-09-10
40,2012-09-24
22,2012-09-13
30,2012-09-12
33,2012-09-28
37,2012-09-04
18,2012-11-17
7,2012-11-19
39,2012-11-04
34,2012-11-08
34,2012-11-12
6,2012-11-22
2,2012-11-05
19,2012-11-25
35,2012-11-13
16,2012-11-01
6,2012-11-10
10,2012-11-02
33,2012-11-14
9,2012-11-06
7,2012-11-24
15,2012-11-20
6,2012-11-18
27,2012-11-03
5,2012-11-11
12,2012-11-28
32,2012-11-27
18,2012-11-09
3,2012-12-09
10,2012-12-28
32,2012-12-05
24,2012-12-12
25,2012-12-01
24,2013-01-09
32,2013-01-15
31,2013-01-18
32,2013-01-03
9,2013-01-21
30,2013-01-16
2,2013-01-19
40,2013-01-26
8,2013-01-24
26,2013-01-07
24,2013-01-13
10,2013-01-23
7,2013-01-11
21,2013-01-01
37,2013-01-25
6,2013-02-27
17,2013-02-05
33,2013-02-17
12,2013-02-03
29,2013-02-12
32,2013-02-21
37,2013-02-18
23,2013-02-02
23,2013-02-22
32,2013-02-19
10,2013-02-14
13,2013-02-24
38,2013-02-26
36,2013-02-04
38,2013-02-25
38,2013-02-10
20,2013-02-23
20,2013-03-08
24,2013-03-15
29,2013-03-21
19,2013-03-17
34,2013-03-09
32,2013-04-07
6,2013-04-27
17,2013-04-15
23,2013-04-20
30,2013-04-22
32,2013-04-06
18,2013-04-05
39,2013-04-04
25,2013-04-08
30,2013-04-28
7,2013-04-13
2,2013-04-19
30,2013-04-10
36,2013-04-16
32,2013-04-23
39,2013-04-03
21,2013-04-26
22,2013-04-14
27,2013-04-09
27,2013-04-18
28,2013-04-24
23,2013-04-02
12,2013-04-17
8,2013-04-25
33,2013-04-01
22,2013-04-12
12,2013-04-21
32,2013-05-22
34,2013-05-19
10,2013-05-06
20,2013-05-21
19,2013-05-25
15,2013-05-16
30,2013-05-12
28,2013-05-26
27,2013-05-15
21,2013-05-23
10,2013-05-27
33,2013-05-05
36,2013-05-07
23,2013-05-10
19,2013-05-03
15,2013-05-02
11,2013-05-01
6,2013-05-28
36,2013-05-08
36,2013-05-14
32,2013-06-20
38,2013-06-05
6,2013-06-02
14,2013-06-10
10,2013-06-03
3,2013-06-12
14,2013-06-27
26,2013-06-17
30,2013-06-16
21,2013-06-01
22,2013-06-26
3,2013-06-07
16,2013-06-15
36,2013-06-11
31,2013-06-22
11,2013-06-08
37,2013-06-18
21,2013-07-13
23,2013-07-28
33,2013-07-02
19,2013-07-19
2,2013-07-17
22,2013-07-09
3,2013-07-24
33,2013-07-14
38,2013-07-03
16,2013-07-08
25,2013-07-12
4,2013-07-20
5,2013-07-25
9,2013-07-16
39,2013-07-01
19,2013-07-23
3,2013-07-18
18,2013-07-07
17,2013-07-11
10,2013-07-06
5,2013-07-21
25,2013-07-04
34,2013-07-15
6,2013-07-27
29,2013-07-10
35,2013-07-26
19,2013-08-27
37,2013-08-21
2,2013-08-07
12,2013-08-06
17,2013-08-03
5,2013-08-23
27,2013-08-11
27,2013-08-04
40,2013-08-24
22,2013-08-18
22,2013-08-26
21,2013-08-01
12,2013-08-22
6,2013-08-08
18,2013-08-14
21,2013-08-17
29,2013-08-09
25,2013-08-19
27,2013-08-10
4,2013-09-11
29,2013-09-27
12,2013-09-17
33,2013-09-15
10,2013-09-06
9,2013-09-22
35,2013-09-04
6,2013-09-16
24,2013-09-25
39,2013-09-19
9,2013-09-03
3,2013-09-28
4,2013-10-15
11,2013-10-26
28,2013-10-19
39,2013-10-21
12,2013-10-02
10,2013-10-18
33,2013-11-06
13,2013-11-05
38,2013-11-26
22,2013-11-13
25,2013-11-23
37,2013-12-01
34,2013-12-09
22,2013-12-21
16,2013-12-23
12,2013-12-25
22,2013-12-03
40,2013-12-27
23,2013-12-24
11,2013-12-11
36,2013-12-13
6,2013-12-05
39,2013-12-20
6,2013-12-10
8,2013-12-17
31,2013-12-28
3,2013-12-08
17,2013-12-15
17,2013-12-26
27,2013-12-06
30,2013-12-07
